nodeid,event,service,time
0,received,/prefix/seq=93,5.028969319
0,sent,/prefix/seq=101,5.050000000
0,received,/prefix/seq=95,5.086854523
0,sent,/prefix/seq=102,5.100000000
0,received,/prefix/seq=94,5.120680251
0,sent,/prefix/seq=103,5.150000000
0,received,/prefix/seq=96,5.178972015
0,sent,/prefix/seq=104,5.200000000
0,received,/prefix/seq=97,5.228540295
0,sent,/prefix/seq=105,5.250000000
0,received,/prefix/seq=99,5.287531841
0,sent,/prefix/seq=106,5.300000000
0,received,/prefix/seq=98,5.320606464
0,sent,/prefix/seq=107,5.350000000
0,received,/prefix/seq=100,5.378885425
0,sent,/prefix/seq=108,5.400000000
0,received,/prefix/seq=101,5.428695173
0,sent,/prefix/seq=109,5.450000000
0,received,/prefix/seq=103,5.487280424
0,sent,/prefix/seq=110,5.500000000
0,received,/prefix/seq=102,5.520578063
0,sent,/prefix/seq=111,5.550000000
0,received,/prefix/seq=104,5.578913256
0,sent,/prefix/seq=112,5.600000000
0,received,/prefix/seq=105,5.629179186
0,sent,/prefix/seq=113,5.650000000
0,received,/prefix/seq=107,5.687502556
0,sent,/prefix/seq=114,5.700000000
0,received,/prefix/seq=106,5.720419438
0,sent,/prefix/seq=115,5.750000000
0,received,/prefix/seq=108,5.779109878
0,sent,/prefix/seq=116,5.800000000
0,received,/prefix/seq=109,5.828628711
0,sent,/prefix/seq=117,5.850000000
0,received,/prefix/seq=111,5.886850324
0,sent,/prefix/seq=118,5.900000000
0,received,/prefix/seq=110,5.920189262
0,sent,/prefix/seq=119,5.950000000
0,received,/prefix/seq=112,5.979012838
0,sent,/prefix/seq=120,6.000000000
0,received,/prefix/seq=113,6.028886257
0,sent,/prefix/seq=121,6.050000000
0,received,/prefix/seq=115,6.086745016
0,sent,/prefix/seq=122,6.100000000
0,received,/prefix/seq=114,6.120170638
0,sent,/prefix/seq=123,6.150000000
0,received,/prefix/seq=116,6.178588589
0,sent,/prefix/seq=124,6.200000000
0,received,/prefix/seq=117,6.228674076
0,sent,/prefix/seq=125,6.250000000
0,received,/prefix/seq=119,6.287007764
0,sent,/prefix/seq=126,6.300000000
0,received,/prefix/seq=118,6.320306699
0,sent,/prefix/seq=127,6.350000000
0,received,/prefix/seq=120,6.378699043
0,sent,/prefix/seq=128,6.400000000
0,received,/prefix/seq=121,6.428610597
0,sent,/prefix/seq=129,6.450000000
0,received,/prefix/seq=123,6.486977526
0,sent,/prefix/seq=130,6.500000000
0,received,/prefix/seq=122,6.520372446
0,sent,/prefix/seq=131,6.550000000
0,received,/prefix/seq=124,6.579173249
0,sent,/prefix/seq=132,6.600000000
0,received,/prefix/seq=125,6.628512697
0,sent,/prefix/seq=133,6.650000000
0,received,/prefix/seq=127,6.687271931
0,sent,/prefix/seq=134,6.700000000
0,received,/prefix/seq=126,6.720425382
0,sent,/prefix/seq=135,6.750000000
0,received,/prefix/seq=128,6.778646326
0,sent,/prefix/seq=136,6.800000000
0,received,/prefix/seq=129,6.828491846
0,sent,/prefix/seq=137,6.850000000
0,received,/prefix/seq=131,6.887458417
0,sent,/prefix/seq=138,6.900000000
0,received,/prefix/seq=130,6.920597106
0,sent,/prefix/seq=139,6.950000000
0,received,/prefix/seq=132,6.978780352
0,sent,/prefix/seq=140,7.000000000
0,received,/prefix/seq=133,7.028635169
0,sent,/prefix/seq=141,7.050000000
0,received,/prefix/seq=135,7.086820275
0,sent,/prefix/seq=142,7.100000000
0,received,/prefix/seq=134,7.120532174
0,sent,/prefix/seq=143,7.150000000
0,received,/prefix/seq=136,7.178607688
0,sent,/prefix/seq=144,7.200000000
0,received,/prefix/seq=137,7.228411613
0,sent,/prefix/seq=145,7.250000000
0,received,/prefix/seq=139,7.286844232
0,sent,/prefix/seq=146,7.300000000
0,received,/prefix/seq=138,7.320116164
0,sent,/prefix/seq=147,7.350000000
0,received,/prefix/seq=140,7.378633657
0,sent,/prefix/seq=148,7.400000000
0,received,/prefix/seq=141,7.428565426
0,sent,/prefix/seq=149,7.450000000
