nodeid,service,serviceCount,status,time
6,,17,Current Resource,1.540000000
7,,19,Current Resource,1.540000000
8,,0,Current Resource,1.540000000
6,,17,Current Resource,1.560000000
7,,19,Current Resource,1.560000000
8,,0,Current Resource,1.560000000
6,,17,Current Resource,1.580000000
7,,19,Current Resource,1.580000000
8,,0,Current Resource,1.580000000
7,/prefix/seq=31,18,Data Processing,1.580816000
7,0.250150,18,Computation time,1.580816000
6,,17,Current Resource,1.600000000
7,,18,Current Resource,1.600000000
8,,0,Current Resource,1.600000000
6,,17,Current Resource,1.620000000
7,,18,Current Resource,1.620000000
8,,0,Current Resource,1.620000000
6,/prefix/seq=26,18,Data Correction,1.622827506
7,/prefix/seq=32,17,Data Processing,1.630816000
7,0.292397,17,Computation time,1.630816000
8,/prefix/seq=12,1,Data Correction,1.631184506
7,/prefix/seq=27,18,Data Correction,1.631387737
6,,18,Current Resource,1.640000000
7,,18,Current Resource,1.640000000
8,,1,Current Resource,1.640000000
6,,18,Current Resource,1.660000000
7,,18,Current Resource,1.660000000
8,,1,Current Resource,1.660000000
6,,18,Current Resource,1.680000000
7,,18,Current Resource,1.680000000
8,,1,Current Resource,1.680000000
6,/prefix/seq=33,17,Data Processing,1.680816000
6,0.292016,17,Computation time,1.680816000
6,,17,Current Resource,1.700000000
7,,18,Current Resource,1.700000000
8,,1,Current Resource,1.700000000
6,,17,Current Resource,1.720000000
7,,18,Current Resource,1.720000000
8,,1,Current Resource,1.720000000
8,/prefix/seq=34,0,Data Processing,1.730816000
8,1.000311,0,Computation time,1.730816000
6,,17,Current Resource,1.740000000
7,,18,Current Resource,1.740000000
8,,0,Current Resource,1.740000000
6,,17,Current Resource,1.760000000
7,,18,Current Resource,1.760000000
8,,0,Current Resource,1.760000000
6,/prefix/seq=29,18,Data Correction,1.772944665
6,,18,Current Resource,1.780000000
7,,18,Current Resource,1.780000000
8,,0,Current Resource,1.780000000
7,/prefix/seq=35,17,Data Processing,1.780816000
7,0.292318,17,Computation time,1.780816000
6,,18,Current Resource,1.800000000
7,,17,Current Resource,1.800000000
8,,0,Current Resource,1.800000000
6,,18,Current Resource,1.820000000
7,,17,Current Resource,1.820000000
8,,0,Current Resource,1.820000000
6,/prefix/seq=30,19,Data Correction,1.822647988
6,/prefix/seq=36,18,Data Processing,1.830816000
6,0.250349,18,Computation time,1.830816000
7,/prefix/seq=31,18,Data Correction,1.830965873
8,/prefix/seq=16,1,Data Correction,1.831242242
6,,18,Current Resource,1.840000000
7,,18,Current Resource,1.840000000
8,,1,Current Resource,1.840000000
6,,18,Current Resource,1.860000000
7,,18,Current Resource,1.860000000
8,,1,Current Resource,1.860000000
6,,18,Current Resource,1.880000000
7,,18,Current Resource,1.880000000
8,,1,Current Resource,1.880000000
6,/prefix/seq=37,17,Data Processing,1.880816000
6,0.291990,17,Computation time,1.880816000
6,,17,Current Resource,1.900000000
7,,18,Current Resource,1.900000000
8,,1,Current Resource,1.900000000
6,,17,Current Resource,1.920000000
7,,18,Current Resource,1.920000000
8,,1,Current Resource,1.920000000
7,/prefix/seq=32,19,Data Correction,1.923212728
8,/prefix/seq=38,0,Data Processing,1.930816000
8,1.000118,0,Computation time,1.930816000
6,,17,Current Resource,1.940000000
7,,19,Current Resource,1.940000000
8,,0,Current Resource,1.940000000
6,,17,Current Resource,1.960000000
7,,19,Current Resource,1.960000000
8,,0,Current Resource,1.960000000
6,/prefix/seq=33,18,Data Correction,1.972831857
6,,18,Current Resource,1.980000000
7,,19,Current Resource,1.980000000
8,,0,Current Resource,1.980000000
7,/prefix/seq=39,18,Data Processing,1.980816000
7,0.250237,18,Computation time,1.980816000
8,/prefix/seq=19,1,Data Correction,1.981353930
6,,18,Current Resource,2.000000000
7,,18,Current Resource,2.000000000
8,,1,Current Resource,2.000000000
6,,18,Current Resource,2.020000000
7,,18,Current Resource,2.020000000
8,,1,Current Resource,2.020000000
6,/prefix/seq=40,17,Data Processing,2.030816000
6,0.292053,17,Computation time,2.030816000
6,,17,Current Resource,2.040000000
7,,18,Current Resource,2.040000000
8,,1,Current Resource,2.040000000
6,,17,Current Resource,2.060000000
7,,18,Current Resource,2.060000000
8,,1,Current Resource,2.060000000
7,/prefix/seq=35,19,Data Correction,2.073133808
6,,17,Current Resource,2.080000000
7,,19,Current Resource,2.080000000
8,,1,Current Resource,2.080000000
8,/prefix/seq=41,0,Data Processing,2.080816000
8,1.000617,0,Computation time,2.080816000
6,/prefix/seq=36,18,Data Correction,2.081165234
6,,18,Current Resource,2.100000000
7,,19,Current Resource,2.100000000
8,,0,Current Resource,2.100000000
6,,18,Current Resource,2.120000000
7,,19,Current Resource,2.120000000
8,,0,Current Resource,2.120000000
7,/prefix/seq=42,18,Data Processing,2.130816000
7,0.250563,18,Computation time,2.130816000
8,/prefix/seq=22,1,Data Correction,2.131022529
6,,18,Current Resource,2.140000000
7,,18,Current Resource,2.140000000
8,,1,Current Resource,2.140000000
6,,18,Current Resource,2.160000000
7,,18,Current Resource,2.160000000
8,,1,Current Resource,2.160000000
6,/prefix/seq=37,19,Data Correction,2.172806463
6,,19,Current Resource,2.180000000
7,,18,Current Resource,2.180000000
8,,1,Current Resource,2.180000000
6,/prefix/seq=43,18,Data Processing,2.180816000
6,0.250655,18,Computation time,2.180816000
6,,18,Current Resource,2.200000000
7,,18,Current Resource,2.200000000
8,,1,Current Resource,2.200000000
6,,18,Current Resource,2.220000000
7,,18,Current Resource,2.220000000
8,,1,Current Resource,2.220000000
6,/prefix/seq=44,17,Data Processing,2.230816000
6,0.292311,17,Computation time,2.230816000
7,/prefix/seq=39,19,Data Correction,2.231052768
6,,17,Current Resource,2.240000000
7,,19,Current Resource,2.240000000
8,,1,Current Resource,2.240000000
6,,17,Current Resource,2.260000000
7,,19,Current Resource,2.260000000
8,,1,Current Resource,2.260000000
6,,17,Current Resource,2.280000000
7,,19,Current Resource,2.280000000
8,,1,Current Resource,2.280000000
8,/prefix/seq=45,0,Data Processing,2.280816000
8,1.000138,0,Computation time,2.280816000
6,,17,Current Resource,2.300000000
7,,19,Current Resource,2.300000000
8,,0,Current Resource,2.300000000
